Player,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,ATT PER GAME,YBCON PER GAME,YACON PER GAME,BRKTKL PER GAME,TK LOSS PER GAME,TK LOSS YDS PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,30+ YDS PER GAME,40+ YDS PER GAME,50+ YDS PER GAME,TGT PER GAME,RZ TGT PER GAME,TOTAL_ATT,TOTAL_YBCON,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TK_LOSS,TOTAL_TK_LOSS_YDS,TOTAL_10YDS,TOTAL_20YDS,TOTAL_30YDS,TOTAL_40YDS,TOTAL_50YDS,TOTAL_TGT,TOTAL_RZ_TGT
Jaleel McLaughlin,30.5,142.6,0.8,18.2,110.3,0.9,0.5,34.3,16.0,7.0,19.0,12.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,112.0,304.0,192.0,16.0,16.0,-32.0,16.0,0.0,0.0,0.0,0.0,32.0,0.0
Zamir White,56.1,190.2,1.1,8.6,61.7,0.3,0.0,33.6,8.0,8.0,12.0,11.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64.0,96.0,88.0,8.0,8.0,-16.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
A.J. Dillon,50.1,199.1,1.6,3.6,28.6,0.1,0.0,32.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jacory Croskey-Merritt,33.0,169.4,1.4,3.7,27.3,0.1,0.0,28.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DJ Giddens,24.1,154.3,1.2,5.8,43.6,0.1,0.0,27.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jordan James,26.9,154.8,1.3,3.3,29.5,0.0,0.0,26.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ollie Gordon II,31.9,151.3,1.2,5.1,36.3,0.1,0.4,26.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Brashard Smith,9.7,97.0,0.7,10.9,80.3,0.7,0.0,25.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audric Estime,45.5,148.6,0.9,5.8,40.1,0.2,0.4,25.1,13.0,6.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,130.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amar Johnson,35.0,164.0,1.0,2.0,26.0,0.0,0.0,25.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
