Player,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Dallas Goedert,57.2,633.3,3.9,0.5,85.8,10.0,4.0,50.0,26.0,37.0,27.0,7.0,0.0,5.0,4.0,0.0,1.0,2.0,1.0,40.0,500.0,260.0,370.0,270.0,70.0,0.0,50.0,40.0,0.0,10.0,20.0,10.0
Zach Ertz,58.1,539.2,5.1,0.1,84.2,17.0,4.0,38.0,27.0,39.0,11.0,4.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,68.0,646.0,459.0,663.0,187.0,68.0,0.0,85.0,68.0,0.0,17.0,34.0,0.0
Dalton Kincaid,57.1,603.0,4.0,0.5,83.6,13.0,3.0,34.0,13.0,43.0,21.0,8.0,0.0,6.0,4.0,0.0,1.0,1.0,0.0,39.0,442.0,169.0,559.0,273.0,104.0,0.0,78.0,52.0,0.0,13.0,13.0,0.0
Evan Engram,69.1,614.2,4.0,0.9,83.4,9.0,5.0,41.0,24.0,39.0,17.0,4.0,0.0,7.0,6.0,0.0,0.0,2.0,0.0,45.0,369.0,216.0,351.0,153.0,36.0,0.0,63.0,54.0,0.0,0.0,18.0,0.0
Kyle Pitts Sr.,47.5,599.0,3.8,0.1,82.8,17.0,3.0,35.0,19.0,37.0,16.0,7.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,51.0,595.0,323.0,629.0,272.0,119.0,0.0,68.0,51.0,0.0,17.0,17.0,0.0
Jake Ferguson,67.8,621.9,3.8,1.2,82.6,14.0,4.0,35.0,13.0,25.0,22.0,9.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,56.0,490.0,182.0,350.0,308.0,126.0,0.0,84.0,56.0,0.0,0.0,14.0,0.0
Hunter Henry,55.0,572.5,3.6,0.4,78.3,16.0,4.0,42.0,25.0,43.0,17.0,6.0,0.0,6.0,4.0,0.0,1.0,2.0,0.0,64.0,672.0,400.0,688.0,272.0,96.0,0.0,96.0,64.0,0.0,16.0,32.0,0.0
Darren Waller,52.6,579.4,3.4,0.1,77.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Isaiah Likely,41.4,495.5,4.8,0.7,77.0,16.0,3.0,30.0,14.0,29.0,16.0,5.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,48.0,480.0,224.0,464.0,256.0,80.0,0.0,64.0,48.0,0.0,16.0,16.0,0.0
Jonnu Smith,52.2,544.5,4.0,0.9,76.7,17.0,5.0,52.0,22.0,32.0,30.0,8.0,0.0,7.0,6.0,0.0,1.0,3.0,0.0,85.0,884.0,374.0,544.0,510.0,136.0,0.0,119.0,102.0,0.0,17.0,51.0,0.0
