Player,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Jonathan Mingo,4.2,49.8,0.2,0.0,0.0,0.0,0.0,6.2,16.0,1.0,10.0,6.0,27.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,160.0,96.0,432.0,64.0,16.0,0.0,48.0,16.0,0.0,0.0,0.0,0.0
Trishton Jackson,3.4,40.6,0.3,0.0,0.0,0.0,0.0,6.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jordan Watkins,2.6,33.4,0.1,4.4,15.8,0.1,0.0,6.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chris Blair,3.6,38.8,0.3,0.0,0.0,0.0,0.0,5.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dareke Young,3.4,39.8,0.2,0.0,0.0,0.0,0.0,5.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cody White,3.4,39.8,0.2,0.0,0.0,0.0,0.0,5.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jalen Brooks,3.4,39.1,0.2,0.0,0.0,0.0,0.0,5.3,14.0,1.0,13.0,10.0,29.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,14.0,182.0,140.0,406.0,42.0,14.0,0.0,28.0,14.0,0.0,0.0,14.0,0.0
John Metchie III,3.5,39.4,0.2,0.0,0.0,0.0,0.0,5.2,13.0,2.0,20.0,14.0,26.0,5.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,26.0,260.0,182.0,338.0,65.0,13.0,0.0,39.0,26.0,0.0,13.0,13.0,0.0
Bryce Oliver,3.4,38.2,0.2,0.0,0.0,0.0,0.0,5.1,10.0,1.0,10.0,7.0,10.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,100.0,70.0,100.0,30.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Sterling Shepard,3.4,33.4,0.2,0.0,3.7,0.0,0.0,5.0,14.0,2.0,24.0,17.0,34.0,7.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,28.0,336.0,238.0,476.0,98.0,28.0,0.0,56.0,42.0,0.0,0.0,14.0,0.0
Austin Trammell,3.4,40.1,0.2,0.0,0.0,0.0,0.0,5.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xavier Gipson,4.2,54.3,0.0,0.0,2.5,0.0,0.5,4.9,17.0,0.0,2.0,1.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,119.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
Britain Covey,1.8,21.0,0.1,2.2,13.7,0.1,0.0,4.8,5.0,1.0,7.0,1.0,2.0,6.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,35.0,5.0,10.0,30.0,5.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Dee Eskridge,3.0,32.8,0.2,0.0,1.7,0.0,0.0,4.7,6.0,1.0,7.0,3.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,42.0,18.0,18.0,30.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0
Jamari Thrash,3.4,40.0,0.1,0.0,0.0,0.0,0.0,4.5,9.0,0.0,2.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,54.0,18.0,9.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0
Lil'Jordan Humphrey,4.0,44.0,0.0,0.0,0.0,0.0,0.0,4.4,14.0,2.0,21.0,7.0,21.0,14.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,28.0,294.0,98.0,294.0,196.0,56.0,0.0,42.0,28.0,0.0,0.0,14.0,0.0
Brycen Tremayne,3.0,33.0,0.2,0.0,0.0,0.0,0.0,4.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scotty Miller,3.1,37.4,0.1,0.0,0.0,0.0,0.0,4.2,13.0,0.0,5.0,3.0,8.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,39.0,104.0,39.0,26.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
David Bell,3.9,38.8,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,27.0,19.0,19.0,8.0,6.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,3.0,27.0,19.0,19.0,8.0,6.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0
Tyler Scott,2.7,29.4,0.1,0.0,1.7,0.0,0.0,3.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Devin Duvernay,3.5,34.5,0.2,0.0,2.0,0.0,0.5,3.8,13.0,1.0,6.0,1.0,14.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,78.0,13.0,182.0,65.0,13.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0
Mecole Hardman Jr.,3.0,33.6,0.2,0.0,2.0,0.0,0.5,3.8,12.0,1.0,8.0,-1.0,-1.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,96.0,-12.0,-12.0,96.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0
Nick Nash,3.0,35.0,0.0,0.0,0.0,0.0,0.0,3.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ainias Smith,2.2,24.7,0.1,0.0,0.0,0.0,0.0,3.3,7.0,1.0,6.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,42.0,21.0,14.0,21.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
Rondale Moore,2.0,21.0,0.0,0.0,11.0,0.0,0.0,3.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jacob Cowing,1.1,15.6,0.1,0.0,8.5,0.0,0.0,2.9,15.0,0.0,5.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,75.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Flournoy,1.9,20.7,0.1,0.0,0.0,0.0,0.0,2.9,11.0,1.0,9.0,6.0,10.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,99.0,66.0,110.0,33.0,11.0,0.0,11.0,11.0,0.0,0.0,11.0,0.0
Anthony Gould,1.7,22.4,0.0,0.0,2.5,0.0,0.0,2.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laviska Shenault Jr.,1.8,19.5,0.1,0.0,0.0,0.0,0.0,2.7,10.0,1.0,4.0,-1.0,-1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,40.0,-10.0,-10.0,50.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
Ashton Dulin,1.6,19.6,0.1,0.0,1.7,0.0,0.0,2.6,15.0,0.0,4.0,2.0,10.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,30.0,150.0,45.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
Trent Sherfield Sr.,1.8,20.9,0.1,0.0,0.0,0.0,0.0,2.6,15.0,1.0,6.0,3.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,90.0,45.0,75.0,45.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0
Isaiah Williams,1.6,18.4,0.1,0.0,0.0,0.0,0.0,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Steven Sims Jr.,1.7,17.9,0.1,0.0,0.0,0.0,0.0,2.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tank Dell,2.0,24.0,0.0,0.0,0.0,0.0,0.0,2.4,14.0,4.0,48.0,36.0,72.0,12.0,3.0,0.0,6.0,4.0,0.0,1.0,2.0,1.0,56.0,672.0,504.0,1008.0,168.0,42.0,0.0,84.0,56.0,0.0,14.0,28.0,14.0
Isaiah Neyor,2.0,24.0,0.0,0.0,0.0,0.0,0.0,2.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Miles Boykin,1.6,17.9,0.1,0.0,0.0,0.0,0.0,2.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zach Pascal,1.5,17.8,0.1,0.0,0.0,0.0,0.0,2.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tez Johnson,1.6,19.7,0.1,0.0,0.0,0.0,0.0,2.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jimmy Horn Jr.,1.5,18.0,0.0,0.0,0.0,0.0,0.0,1.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tyquan Thornton,1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.6,4.0,1.0,12.0,6.0,32.0,6.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,48.0,24.0,128.0,24.0,16.0,0.0,8.0,4.0,0.0,0.0,4.0,0.0
Trey Palmer,0.9,9.8,0.1,0.0,0.0,0.0,0.0,1.5,15.0,1.0,11.0,9.0,21.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,15.0,165.0,135.0,315.0,45.0,15.0,0.0,15.0,15.0,0.0,0.0,15.0,0.0
Jason Brownlee,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nikko Remigio,0.9,11.6,0.0,0.0,0.0,0.0,0.0,1.4,5.0,0.0,10.0,7.0,13.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,35.0,65.0,15.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
Braxton Berrios,1.0,10.5,0.0,0.0,2.5,0.0,0.0,1.3,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Chris Moore,1.0,13.0,0.0,0.0,0.0,0.0,0.0,1.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LaJohntay Wester,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Casey Washington,0.8,8.2,0.1,0.0,0.0,0.0,0.0,1.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ihmir Smith-Marsette,0.8,9.5,0.1,0.0,2.5,0.0,0.5,0.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trenton Irwin,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.5,6.0,1.0,3.0,2.0,10.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,18.0,12.0,60.0,6.0,0.0,0.0,12.0,6.0,0.0,6.0,0.0,0.0
Xavier Smith,1.0,11.0,0.0,0.0,2.5,0.0,0.5,0.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tom Kennedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mason Kinsey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Laquon Treadwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trent Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Keith Kirkwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phillip Dorsett II,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Equanimeous St. Brown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
