Player,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Joshua Palmer,42.0,587.7,3.5,0.0,0.5,0.0,0.1,79.8,15.0,3.0,39.0,32.0,66.0,7.0,2.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,45.0,585.0,480.0,990.0,105.0,30.0,0.0,60.0,45.0,0.0,0.0,30.0,15.0
Tyler Lockett,49.6,578.7,3.5,0.0,0.0,0.0,0.1,78.5,17.0,3.0,35.0,27.0,46.0,8.0,2.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,51.0,595.0,459.0,782.0,136.0,34.0,0.0,68.0,51.0,0.0,17.0,17.0,0.0
Michael Wilson,43.8,525.0,3.9,1.9,8.9,0.1,0.5,76.4,16.0,3.0,34.0,26.0,51.0,8.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,48.0,544.0,416.0,816.0,128.0,48.0,0.0,64.0,48.0,0.0,0.0,16.0,16.0
DeMario Douglas,54.6,575.4,2.8,2.1,15.7,0.0,0.2,75.7,17.0,4.0,37.0,15.0,30.0,21.0,5.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,68.0,629.0,255.0,510.0,357.0,85.0,0.0,85.0,68.0,0.0,0.0,17.0,0.0
Jack Bech,45.9,574.4,2.9,1.0,4.3,0.0,0.8,74.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tre' Harris,40.8,544.9,3.4,0.7,3.8,0.0,0.7,74.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Calvin Austin III,39.6,528.8,3.4,2.3,11.8,0.1,0.5,73.7,17.0,2.0,32.0,23.0,42.0,9.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,34.0,544.0,391.0,714.0,153.0,34.0,0.0,51.0,34.0,0.0,0.0,17.0,17.0
Alec Pierce,29.3,528.9,3.3,0.0,0.0,0.0,0.1,72.6,16.0,2.0,52.0,44.0,93.0,7.0,2.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,32.0,832.0,704.0,1488.0,112.0,32.0,0.0,64.0,48.0,0.0,0.0,32.0,16.0
Jalen McMillan,35.5,445.9,4.3,2.3,18.7,0.0,0.5,71.4,13.0,3.0,35.0,25.0,54.0,10.0,2.0,0.0,4.0,3.0,0.0,1.0,2.0,1.0,39.0,455.0,325.0,702.0,130.0,26.0,0.0,52.0,39.0,0.0,13.0,26.0,13.0
Quentin Johnston,34.9,458.8,4.1,1.7,7.2,0.0,0.4,70.8,15.0,4.0,47.0,27.0,66.0,20.0,6.0,1.0,6.0,4.0,0.0,1.0,2.0,1.0,60.0,705.0,405.0,990.0,300.0,90.0,15.0,90.0,60.0,0.0,15.0,30.0,15.0
Diontae Johnson,43.0,526.9,2.7,0.0,2.3,0.0,0.7,68.0,11.0,3.0,34.0,26.0,66.0,8.0,2.0,0.0,6.0,3.0,0.0,1.0,2.0,0.0,33.0,374.0,286.0,726.0,88.0,22.0,0.0,66.0,33.0,0.0,11.0,22.0,0.0
Kyle Williams,38.8,492.5,2.9,2.1,13.3,0.0,0.4,67.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dyami Brown,39.4,502.3,2.8,0.7,6.8,0.0,0.5,66.8,15.0,2.0,21.0,6.0,19.0,15.0,5.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,30.0,315.0,90.0,285.0,225.0,75.0,0.0,45.0,30.0,0.0,0.0,15.0,0.0
Jalen Nailor,32.9,430.3,3.9,1.8,4.1,0.0,0.4,66.1,17.0,2.0,24.0,18.0,28.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,34.0,408.0,306.0,476.0,102.0,34.0,0.0,34.0,34.0,0.0,0.0,17.0,0.0
Darius Slayton,34.1,511.3,2.4,1.4,6.1,0.0,0.2,66.1,16.0,2.0,36.0,28.0,58.0,8.0,5.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,32.0,576.0,448.0,928.0,128.0,80.0,0.0,64.0,48.0,0.0,0.0,32.0,16.0
Tutu Atwell,39.1,497.9,2.2,4.3,20.2,0.1,0.1,65.3,17.0,2.0,33.0,26.0,41.0,7.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,34.0,561.0,442.0,697.0,119.0,17.0,0.0,68.0,51.0,0.0,0.0,17.0,17.0
Brandin Cooks,40.1,459.8,3.1,1.7,3.8,0.0,0.1,65.0,10.0,3.0,26.0,20.0,63.0,6.0,1.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,30.0,260.0,200.0,630.0,60.0,10.0,0.0,50.0,30.0,0.0,10.0,10.0,0.0
DeAndre Hopkins,32.0,416.4,3.9,0.0,0.5,0.0,0.1,64.9,16.0,4.0,38.0,31.0,53.0,7.0,2.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,64.0,608.0,496.0,848.0,112.0,32.0,0.0,80.0,64.0,0.0,16.0,32.0,0.0
