Player,Team (Bye),WR,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected)
Emeka Egbuka,TB (9),48,109,47.0,51.0,45.0,47.7,49.1,635.2,4.4,2.2,11.1,0.0,1.1,89.3
Darnell Mooney,ATL (5),49,121,49.0,49.0,53.0,50.3,59.9,837.9,4.6,0.0,1.2,0.0,0.5,110.8
Josh Downs,IND (11),50,110,55.0,48.0,49.0,50.7,63.3,737.3,4.3,0.3,5.6,0.0,0.5,98.9
Michael Pittman Jr.,IND (11),51,117,54.0,50.0,48.0,50.7,71.9,852.5,4.0,0.0,1.8,0.0,0.9,107.3
Keon Coleman,BUF (7),52,124,50.0,52.0,51.0,51.0,52.4,822.6,6.1,0.3,3.8,0.0,0.5,118.3
Jayden Higgins,HOU (6),53,123,56.0,53.0,50.0,53.0,47.2,632.0,3.7,0.7,4.0,0.0,0.5,85.1
Tre' Harris,LAC (12),54,140,61.0,54.0,57.0,57.3,40.8,544.9,3.4,0.7,3.8,0.0,0.7,74.0
Rashid Shaheed,NO (11),55,144,59.0,55.0,58.0,57.3,56.4,846.0,4.4,7.3,44.5,0.1,1.3,113.8
Rashod Bateman,BAL (7),56,165,45.0,62.0,67.0,58.0,45.5,691.6,5.5,0.0,0.6,0.0,0.1,102.3
Christian Kirk,HOU (6),57,146,57.0,58.0,60.0,58.3,50.6,649.4,3.5,0.7,4.0,0.0,0.8,84.7
Keenan Allen,LAC (12),58,163,52.0,70.0,55.0,59.0,55.6,641.3,4.8,0.3,2.0,0.0,0.6,91.9
Quentin Johnston,LAC (12),59,189,51.0,65.0,73.0,63.0,34.9,458.8,4.1,1.7,7.2,0.0,0.4,70.8
Adam Thielen,CAR (14),60,176,62.0,64.0,71.0,65.7,61.8,657.7,4.5,0.0,1.8,0.0,0.5,91.7
Romeo Doubs,GB (5),61,186,58.0,71.0,70.0,66.3,45.2,575.2,4.3,0.0,0.5,0.0,0.5,82.3
Marvin Mims Jr.,DEN (12),62,135,,57.0,54.0,55.5,51.2,696.6,5.4,11.9,49.4,0.1,0.6,106.5
Luther Burden III,CHI (5),63,141,,56.0,56.0,56.0,47.0,570.1,3.4,3.7,27.4,0.4,1.1,79.9
Jack Bech,LV (8),64,151,,61.0,62.0,61.5,45.9,574.4,2.9,1.0,4.7,0.0,0.8,74.1
Marquise Brown,KC (10),65,153,,63.0,61.0,62.0,55.1,676.0,4.4,0.3,2.0,0.0,0.2,94.1
Calvin Austin III,PIT (5),66,263,60.0,86.0,85.0,77.0,39.6,529.0,3.4,2.3,11.8,0.1,0.5,73.7
Jalen McMillan,TB (9),67,161,,59.0,68.0,63.5,35.5,445.9,4.3,2.3,18.7,0.0,0.5,71.4
DeAndre Hopkins,BAL (7),68,167,,69.0,59.0,64.0,32.0,416.5,3.9,0.0,0.5,0.0,0.1,64.9
Kyle Williams,NE (14),69,166,,60.0,69.0,64.5,38.8,492.5,2.9,2.1,13.3,0.0,0.4,67.3
Cedric Tillman,CLE (9),70,171,,66.0,64.0,65.0,55.6,691.3,3.9,0.7,0.8,0.0,0.9,90.5
Xavier Legette,CAR (14),71,173,,68.0,63.0,65.5,54.4,613.2,3.9,6.2,29.0,0.1,0.5,87.0
Wan'Dale Robinson,NYG (14),72,178,,67.0,66.0,66.5,69.1,622.1,3.1,2.0,15.6,0.0,0.5,81.6
DeMario Douglas,NE (14),73,185,,75.0,65.0,70.0,54.6,575.3,2.8,2.1,15.7,0.0,0.2,75.7
