Player,Team,(Bye),TE,Overall,CBS,Sleeper,RTSports,AVG,RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,REC PER GAME,YDS PER GAME,YBC PER GAME,AIR PER GAME,YAC PER GAME,YACON PER GAME,BRKTKL PER GAME,TGT PER GAME,CATCHABLE PER GAME,DROP PER GAME,RZ TGT PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,TOTAL_REC,TOTAL_YDS,TOTAL_YBC,TOTAL_AIR,TOTAL_YAC,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TGT,TOTAL_CATCHABLE,TOTAL_DROP,TOTAL_RZ_TGT,TOTAL_10YDS,TOTAL_20YDS
Elijah Arroyo,SEA,8,30,215,N/A,34,25.0,29.5,41.1,436.0,2.9,0.4,60.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ja'Tavion Sanders,CAR,14,31,219,N/A,29,30.0,29.5,38.5,388.6,2.1,0.1,51.1,16.0,2.0,21.0,10.0,17.0,12.0,4.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,32.0,336.0,160.0,272.0,192.0,64.0,0.0,48.0,32.0,0.0,0.0,16.0,0.0
Cole Kmet,CHI,5,32,228,N/A,30,31.0,30.5,30.0,288.6,2.3,0.4,41.7,17.0,3.0,28.0,17.0,23.0,11.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,51.0,476.0,289.0,391.0,187.0,51.0,0.0,51.0,51.0,0.0,0.0,17.0,0.0
Terrance Ferguson,LAR,8,33,234,N/A,27,35.0,31.0,23.0,235.5,1.9,0.4,34.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Juwan Johnson,NO,11,34,237,N/A,32,33.0,32.5,48.9,501.0,3.3,0.2,69.5,17.0,3.0,32.0,20.0,32.0,12.0,3.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,51.0,544.0,340.0,544.0,204.0,51.0,0.0,68.0,51.0,0.0,0.0,34.0,0.0
Theo Johnson,NYG,14,35,256,N/A,31,36.0,33.5,43.1,470.5,2.7,0.1,63.0,12.0,2.0,28.0,15.0,24.0,12.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,24.0,336.0,180.0,288.0,144.0,24.0,0.0,48.0,36.0,0.0,0.0,12.0,0.0
Tyler Conklin,LAC,12,36,267,N/A,37,32.0,34.5,36.4,352.8,2.5,0.1,49.9,16.0,3.0,28.0,12.0,22.0,16.0,5.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,48.0,448.0,192.0,352.0,256.0,80.0,0.0,80.0,48.0,0.0,16.0,16.0,0.0
Harold Fannin Jr.,CLE,9,37,280,N/A,35,38.0,36.5,23.7,234.3,1.2,0.4,30.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Noah Gray,KC,10,38,283,N/A,36,37.0,36.5,28.2,285.4,2.6,0.0,43.9,17.0,2.0,26.0,13.0,18.0,12.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,34.0,442.0,221.0,306.0,204.0,34.0,0.0,51.0,34.0,0.0,0.0,17.0,0.0
Tyler Higbee,LAR,8,39,299,N/A,42,34.0,38.0,45.3,425.2,3.7,0.1,64.4,3.0,3.0,22.0,6.0,9.0,16.0,5.0,0.0,4.0,3.0,0.0,2.0,1.0,0.0,9.0,66.0,18.0,27.0,48.0,15.0,0.0,12.0,9.0,0.0,6.0,3.0,0.0
Noah Fant,CIN,10,40,305,N/A,39,40.0,39.5,36.2,370.6,2.4,0.1,51.6,14.0,3.0,36.0,16.0,25.0,20.0,6.0,0.0,5.0,4.0,0.0,0.0,2.0,0.0,42.0,504.0,224.0,350.0,280.0,84.0,0.0,70.0,56.0,0.0,0.0,28.0,0.0
Oronde Gadsden II,II,12,41,311,N/A,40,39.0,39.5,16.5,168.9,1.4,0.0,25.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ben Sinnott,WAS,12,42,312,N/A,41,N/A,41.0,17.9,176.9,1.5,0.1,26.4,17.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
