Player,Team,(Bye),RB,Overall,CBS,Sleeper,RTSports,AVG,RUSHING ATT (Projected),RUSHING YDS (Projected),RUSHING TDS (Projected),RECEIVING REC (Projected),RECEIVING YDS (Projected),RECEIVING TDS (Projected),MISC FL (Projected),MISC FPTS (Projected),G,ATT PER GAME,YBCON PER GAME,YACON PER GAME,BRKTKL PER GAME,TK LOSS PER GAME,TK LOSS YDS PER GAME,10+ YDS PER GAME,20+ YDS PER GAME,30+ YDS PER GAME,40+ YDS PER GAME,50+ YDS PER GAME,TGT PER GAME,RZ TGT PER GAME,TOTAL_ATT,TOTAL_YBCON,TOTAL_YACON,TOTAL_BRKTKL,TOTAL_TK_LOSS,TOTAL_TK_LOSS_YDS,TOTAL_10YDS,TOTAL_20YDS,TOTAL_30YDS,TOTAL_40YDS,TOTAL_50YDS,TOTAL_TGT,TOTAL_RZ_TGT
Isiah Pacheco,KC,10,26,63,29.0,23.0,26.0,26.0,203.5,838.2,5.7,32.9,224.8,1.0,1.0,144.8,7.0,12.0,26.0,18.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,84.0,182.0,126.0,0.0,7.0,-7.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
Kaleb Johnson,PIT,5,27,68,28.0,29.0,23.0,26.7,202.7,849.1,6.6,23.2,178.0,1.0,1.7,144.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tony Pollard,TEN,10,28,69,26.0,27.0,27.0,26.7,227.5,958.5,5.4,40.2,257.9,0.9,1.0,157.2,16.0,16.0,33.0,35.0,1.0,2.0,-4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,256.0,528.0,560.0,16.0,32.0,-64.0,32.0,0.0,0.0,0.0,0.0,64.0,0.0
Brian Robinson Jr.,WAS,12,29,81,24.0,31.0,31.0,28.7,196.7,809.4,7.3,23.4,175.7,1.0,1.4,145.6,14.0,13.0,27.0,30.0,1.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,182.0,378.0,420.0,14.0,14.0,-42.0,14.0,0.0,0.0,0.0,0.0,28.0,0.0
Tyrone Tracy Jr.,NYG,14,30,77,32.0,30.0,29.0,30.3,188.6,802.0,5.0,35.2,259.8,1.1,1.6,139.2,17.0,11.0,30.0,19.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,187.0,510.0,323.0,0.0,17.0,-17.0,17.0,0.0,0.0,0.0,0.0,51.0,0.0
Jaylen Warren,PIT,5,31,82,36.0,32.0,30.0,32.7,148.8,679.7,3.8,47.7,348.8,1.1,1.0,129.9,15.0,8.0,19.0,15.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,120.0,285.0,225.0,15.0,15.0,-15.0,15.0,0.0,0.0,0.0,0.0,45.0,0.0
Quinshon Judkins,CLE,9,32,88,38.0,25.0,42.0,35.0,145.8,620.4,3.9,21.2,160.4,0.9,1.2,104.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Najee Harris,LAC,12,33,103,30.0,33.0,44.0,35.7,138.7,558.9,4.8,21.8,158.1,0.8,0.8,103.6,17.0,15.0,30.0,32.0,1.0,1.0,-3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,255.0,510.0,544.0,17.0,17.0,-51.0,34.0,17.0,0.0,0.0,0.0,51.0,0.0
Travis Etienne Jr.,JAC,8,34,89,41.0,34.0,32.0,35.7,141.1,577.1,3.7,37.7,279.0,1.2,0.9,112.7,15.0,10.0,19.0,18.0,0.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,150.0,285.0,270.0,0.0,15.0,-45.0,15.0,0.0,0.0,0.0,0.0,45.0,0.0
Cam Skattebo,NYG,14,35,98,33.0,37.0,37.0,35.7,129.4,556.0,3.6,24.8,190.9,0.9,1.2,99.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Zach Charbonnet,SEA,8,36,101,34.0,38.0,36.0,36.0,126.7,536.0,4.5,33.2,244.8,0.9,0.8,108.8,17.0,8.0,16.0,18.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,136.0,272.0,306.0,17.0,17.0,-17.0,17.0,0.0,0.0,0.0,0.0,51.0,0.0
J.K. Dobbins,DEN,12,37,116,31.0,43.0,35.0,36.3,148.4,658.0,4.9,29.2,187.9,1.2,1.2,118.9,13.0,15.0,32.0,38.0,2.0,1.0,-3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,195.0,416.0,494.0,26.0,13.0,-39.0,26.0,0.0,0.0,0.0,0.0,39.0,0.0
Javonte Williams,DAL,10,38,96,42.0,35.0,34.0,37.0,174.9,645.7,4.2,35.9,229.2,1.1,0.9,117.5,17.0,8.0,15.0,15.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,136.0,255.0,255.0,0.0,17.0,-34.0,17.0,0.0,0.0,0.0,0.0,68.0,0.0
Jordan Mason,MIN,6,39,99,40.0,40.0,33.0,37.7,163.9,754.4,4.4,17.6,128.3,0.7,0.7,117.9,12.0,13.0,37.0,29.0,1.0,1.0,-3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,156.0,444.0,348.0,12.0,12.0,-36.0,24.0,12.0,0.0,0.0,0.0,12.0,0.0
Tank Bigsby,JAC,8,40,120,35.0,42.0,38.0,38.3,151.8,612.8,4.8,11.2,81.6,0.2,1.2,97.0,16.0,11.0,18.0,29.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,176.0,288.0,464.0,16.0,16.0,-16.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0
Rhamondre Stevenson,NE,14,41,107,39.0,36.0,41.0,38.7,156.7,636.8,4.8,28.0,177.1,1.1,1.5,113.5,15.0,14.0,25.0,29.0,1.0,1.0,-3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,210.0,375.0,435.0,15.0,15.0,-45.0,15.0,0.0,0.0,0.0,0.0,45.0,15.0
Tyjae Spears,TEN,10,42,108,55.0,39.0,39.0,44.3,124.6,498.2,3.7,33.6,251.9,1.0,0.9,101.3,12.0,7.0,11.0,15.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,84.0,132.0,180.0,12.0,12.0,-24.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0
Rachaad White,TB,9,43,125,47.0,41.0,45.0,44.3,114.5,462.5,2.8,37.6,282.8,2.1,1.3,101.7,16.0,9.0,14.0,24.0,1.0,1.0,-2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,144.0,224.0,384.0,16.0,16.0,-32.0,16.0,0.0,0.0,0.0,0.0,64.0,16.0
Jaydon Blue,DAL,10,44,126,48.0,46.0,40.0,44.7,109.2,476.9,2.9,19.3,150.7,0.8,0.8,83.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Austin Ekeler,WAS,12,45,131,49.0,47.0,46.0,47.3,95.3,414.8,4.1,44.7,367.0,1.8,1.0,111.2,12.0,6.0,19.0,11.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,72.0,228.0,132.0,0.0,12.0,-12.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0
