"Rank","Player","G","REC","YDS","YBC","AIR","YAC","YACON","BRKTKL","TGT","CATCHABLE","DROP","RZ TGT","10+ YDS","20+ YDS","30+ YDS","40+ YDS","50+ YDS"
"82","Hunter Long (JAC)","11","1","5","3","3","3","1","0","1","1","0","0","0","0","0","0","0"
"83","Durham Smythe (CHI)","14","1","4","3","7","1","0","0","1","1","0","0","0","0","0","0","0"
"84","Peyton Hendershot (FA)","5","1","10","4","4","6","3","0","1","1","0","0","1","0","0","0","0"
"85","Charlie Woerner (ATL)","16","0","3","2","2","1","0","0","1","1","0","0","0","0","0","0","0"
"86","Pharaoh Brown (MIA)","10","1","7","4","5","3","1","0","1","1","0","0","0","0","0","0","0"
"87","Luke Musgrave (GB)","7","1","6","4","9","3","0","0","1","1","0","0","0","0","0","0","0"
"88","Ben Sims (GB)","17","0","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0"
"89","Davis Allen (LAR)","14","0","3","1","4","2","0","0","1","1","0","0","0","0","0","0","0"
"90","Tucker Fisk (LAC)","9","1","4","2","2","2","1","0","1","1","0","0","0","0","0","0","0"
"91","Tip Reiman (ARI)","17","0","2","0","1","2","1","0","0","0","0","0","0","0","0","0","0"
"92","Gerald Everett (FA)","10","1","4","-1","4","4","1","0","1","1","0","0","0","0","0","0","0"
"93","Will Mallory (IND)","10","0","3","3","7","0","0","0","1","0","0","0","0","0","0","0","0"
"94","Greg Dulcich (NYG)","9","1","3","1","8","2","0","0","1","1","0","0","0","0","0","0","0"
"95","Cam Grandy (CIN)","8","1","4","2","2","2","1","0","1","1","0","0","0","0","0","0","0"
"96","Dallin Holker (FA)","12","0","2","1","3","1","0","0","0","0","0","0","0","0","0","0","0"
"97","Tanner Conner (MIA)","7","0","2","2","7","1","0","0","1","0","0","0","0","0","0","0","0"
"98","Josiah Deguara (ARI)","7","0","2","0","0","2","1","0","0","0","0","0","0","0","0","0","0"
"99","Eric Tomlinson (FA)","5","0","2","-1","2","2","1","0","1","1","0","0","0","0","0","0","0"
"100","Ian Thomas (LV)","3","1","2","0","8","2","0","0","2","1","0","0","0","0","0","0","0"
""
""
